question,Found_Online,Similarity_Score
"A block of mass m = 2 kg is given an initial speed vi = 5 m/s and slides down a frictional incline that makes an angle θ = 30 degrees with the horizontal. The coefficient of kinetic friction between the block and the incline is μk = 0.2. The incline is surrounded by a large cylindrical surface of radius R = 5 m. After the block slides down the incline, it will collide with the cylindrical surface at the point of intersection and move along the inner surface of the cylinder. The cylinder is fixed and does not rotate. Given that the block slides along the cylindrical surface without slipping, find the linear velocity of the block immediately after it changes direction from sliding down the incline to moving along the cylindrical surface.(Assume Earth's gravitational acceleration g = 9.81 m/s².)",No,0.681
"A point-like particle A of rest mass m is fired along the +x axis with constant speed v0 (0 < v0 < c) toward an identical particle B that is initially at rest and rigidly attached to an ideal, mass-less spring of force constant k whose other end is fixed to an immovable wall. The spring lies along the x axis and is unstressed before the collision. Assume the following unless a contradiction is explicitly required to be resolved:
(1) The collision between the two particles is perfectly elastic and takes place instantaneously.
(2) The spring is light enough that its own relativistic effects can be neglected during the rapid compression phase.
(3) Motion is strictly one-dimensional and all surfaces are frictionless.
After the collision, particle B begins to move toward the wall, compressing the spring until it momentarily comes to rest at maximum compression x_max (measured from the spring’s natural length). Ignore any energy losses other than those explicitly asked about.
Using only the information above and the laws of special relativity and classical spring mechanics, answer the following:",No,0.52
"A beam of pions (π⁺), each with rest mass m_π and proper mean lifetime τ₀, is produced in a lab at speed v such that their total energy is E = 10 m_π c². The beam enters a region with a uniform magnetic field B, oriented perpendicular to their velocity. The radius of curvature of the pion trajectory is observed to be r. Assume the pions decay exclusively into two photons (π⁺ → 2γ), with the photons detected at the point where each pion decays, and that the lab measures the spatial separation ΔL along the arc between the entry point and the average decay location. Neglect any effects of interactions other than the magnetic force before decay.
(a) Derive an expression for the speed v of the pions in terms of E, m_π, and c.
(b) Express the radius r of curvature in terms of E, m_π, c, the pion charge q_π, and the magnetic field B.
(c) Using relativistic time dilation, find, in terms of E, m_π, c, and τ₀, the average proper time t₀ (as measured in the lab frame) before decay.
(d) Using the results above, derive a full symbolic expression for ΔL, the lab-frame arc length traveled on average by a pion before decaying (as a function of E, m_π, c, q_π, B, and τ₀).",No,0.0
"A flexible chain of total length L and uniform mass per unit length λ is initially piled on a smooth table, with a fraction α (0 < α < 1) of its total length hanging vertically over the edge. The chain is released from rest. While falling, the overhanging portion pulls more of the chain off the table until the entire chain has left the table. Assume gravity acts downward with acceleration g, and neglect air resistance. The table edge is rounded so the chain makes a right angle without friction, and there is no energy loss as each link comes off the table. However, due to the finite stiffness of the chain, as each infinitesimal segment leaves the table and suddenly joins the hanging section, it experiences an impulsive inelastic 'jerk'—the segment vertically accelerates from zero (horizontal) velocity to the instantaneous velocity of the falling chain. Assume all such 'jerk' energy dissipation is lost from the system.
(a) Derive an expression for the velocity v(x) of the falling chain as a function of x, the length of chain already hanging (with αL ≤ x ≤ L), taking into account both variable mass and the kinetic energy lost to the 'jerks' at the table edge.
(b) Determine the total energy dissipated due to these 'jerks' by the time the entire chain has left the table.
(c) For the case α = 0 (i.e., the chain starts with no overhang and is infinitesimally nudged off the edge), compute the final velocity v_f of the last link of the chain as it leaves the table, in terms of L, λ, and g.
",No,0.561
"A rocket of initial mass M_0 (including fuel) rests vertically on a frictionless platform at Earth's surface, and begins firing its engine at t = 0, ejecting burned fuel downwards at a constant exhaust speed u (relative to the rocket). The rocket burns fuel at a rate β (in kg/s), where β is a function of time: β(t) = β_0 e^{-α t}, with constants β_0 > 0 and α > 0. The exhaust gases exit at the ambient air temperature T_0, but due to incomplete combustion, 10% of the chemical energy is lost as heat, which is radiated away uniformly through the exhaust nozzle. The gravitational acceleration g may be taken as constant and all air resistance is neglected.
(a) Derive an explicit expression for the rocket's velocity v(t) as a function of time for t < t_1, where t_1 is when the fuel runs out and the rocket mass reaches the dry mass M_f.    
(b) Compute the total work done against gravity during the period 0 < t < t_1. Express your answer in terms of M_0, M_f, g, and other given parameters.
(c) Given that the total chemical energy released by the burnt fuel is Q, determine the fraction of Q used to increase the rocket's mechanical energy during lift-off (i.e., from t = 0 to t = t_1), carefully modeling all sources of energy loss described.",No,0.508
"A thin, uniform disc of mass M and radius R is initially at rest and free to rotate without friction about a fixed, vertical axis passing through its center. A small particle of mass m is projected horizontally with speed v0 at a distance d > R/2 from the axis of the disc. The particle passes tangentially to the disc and sticks to its rim at a point whose line to the axis is perpendicular to the particle's initial velocity. The collision is perfectly inelastic. Immediately after the collision: (a) Find the final angular velocity ω_f of the disc + particle system. (b) Determine the fraction of the particle's initial kinetic energy that is converted into rotational kinetic energy of the system. (c) If the axis is not frictionless but exerts a constant resistive torque τ until the system comes to rest, derive an expression for the total angular displacement θ_total traversed after the collision, before coming to rest.",No,0.553
"A particle of mass m and charge q is released from rest at the origin inside a large evacuated cylindrical chamber whose axis is along the z-axis. The chamber rotates at constant angular velocity Ω about the z-axis. Simultaneously, a spatially varying magnetic field exists in the chamber, given by B(r) = B₀ (r / R) ẑ, where r = sqrt(x² + y²), B₀ and R are constants, and ẑ is the unit vector along z. The whole chamber and field apparatus is inside a spacecraft accelerating upwards (along +z) with constant acceleration a₀. Ignore gravity inside the spacecraft. Assume Ω, B₀, R, a₀, q, and m are all known positive constants, and the chamber radius is much larger than the maximum r reached by the particle. The particle is constrained to move only in the xy-plane (z = 0) by a mechanical guide. Neglect friction and air resistance.",No,0.476
"A uniform solid disc of mass M and radius R is mounted on a frictionless vertical axle and initially spins with angular velocity ω0. A small particle of mass m (with m << M), traveling horizontally with velocity v0, strikes and sticks to the rim of the disc at a point on its edge (assume the collision is perfectly inelastic). Simultaneously, the laboratory is mounted on a rotating platform rotating at angular speed Ω (about the same vertical axis as the disc, but in the opposite direction as ω0). An observer on the rotating platform attempts to analyze the resulting post-collision motion of the particle-disc system.
(a) Find the final angular velocity ωf of the combined system (disc + particle), as measured in the inertial (lab) frame, immediately after the collision.
(b) Express the fictitious (pseudo) forces acting on the particle immediately after it adheres to the rim, as observed in the rotating frame, and compute the magnitude and direction of the total pseudo force vector just after collision.
(c) At the instant after collision, compute the energy loss due to the inelastic nature of the collision, comparing the total kinetic energy before and after, as measured in the laboratory frame. (Assume all rotations and velocities are about/along the same axis, and neglect air friction.)",No,0.59
"A perfectly insulated piston of mass m rests on top of a cylindrical container of height h and cross-sectional area A, containing an ideal monoatomic gas with N molecules and initial temperature T_0. The external pressure is P_ext. Suddenly, a small relativistic particle of mass m_0 (rest mass) and speed v_0 (with v_0 ≈ 0.8c) is launched vertically downward and completely embeds itself in the piston, after which the combined piston-particle system momentarily comes to rest. During this perfectly inelastic collision, assume the piston does not move appreciably. Immediately after, the system is allowed to evolve quasi-statically and reversibly, such that the gas returns to its original temperature T_0, while the piston rises to a new equilibrium height h_f. Neglect heat losses and friction. (1) Find the final equilibrium height h_f of the piston in terms of m, m_0, N, T_0, v_0, A, P_ext, and fundamental constants. (2) Derive the total increase in internal energy of the gas after the collision, explicitly accounting for all forms of energy transfer. (3) Explain whether any heat exchange occurs during the process and justify quantitatively how the system remains consistent with the combined first law of thermodynamics under these conditions.",No,0.394
"A thin uniform circular ring of radius R and mass M is free to rotate without friction about its fixed vertical central axis z. A small bead of rest mass m (m not negligibly small) is rigidly attached to the rim so that it co-rotates with the ring. The combined system (ring + bead) is initially at rest at laboratory time t = 0. From that instant and until t = T a motor mounted on the axle delivers a time–dependent torque\n\n            τ(t) = τ₀\,(1 − t/T) ,           0 ≤ t ≤ T ,\n\nwhere τ₀ and T are positive constants.  No external torques act other than τ(t).  Up to the instant of its release the bead cannot slide with respect to the ring, so the total moment of inertia is\n\n            I = (M + m) R².\n\nExactly at t = T/2 the bead is released instantaneously and subsequently moves freely in a straight line that is tangential to the rim at the release point; after release it experiences no forces.  Ignore gravity and any interaction between bead and ring after release, and treat the bead relativistically once it is free.  The ring continues to rotate under the same torque τ(t) for t > T/2, but for the purpose of this problem you need only consider the interval 0 ≤ t ≤ T/2.  The speed of light is c.  (i) Unless you can prove otherwise, assume the attachment mechanism does not itself add or remove energy.  (ii) Subtle point: the motor torque is applied only to the ring, yet before release both ring and bead gain kinetic energy; account for this correctly.\n\nAnswer the following, expressing every result symbolically in terms of the given parameters (τ₀, T, R, M, m, c):",No,0.598
